Country Name,Country Code,Mortality_2018,Electricity_2018,CO2percap_2018,Electr_Cons_2014,gdppc_2020
Norway,NOR,2.5,100.0,7.031361189,22999.9346,67389.91205
Nepal,NPL,31.9,93.92,0.428179218,146.4730037,1155.142854
Nauru,NRU,31.9,99.91926575,6.555534744,,10580.26819
New Zealand,NZL,4.9,100.0,6.572664572,9012.731097,41441.46667
OECD members,OED,7.164709371,99.89758113,8.835263958,7749.503712,38178.17828
Oman,OMN,11.4,100.0,15.19212436,6445.58142,12659.71772
Other small states,OSS,49.17481411,77.48413348,6.406682315,,11766.97374
Pakistan,PAK,69.4,72.63497925,0.981820105,447.5051567,1188.859757
Panama,PAN,15.3,94.94482422,2.42765632,2064.177914,12509.83529
Peru,PER,13.7,95.2,1.69681923,1345.879007,6126.87454
Philippines,PHL,28.0,94.43275452,1.33369096,696.346787,3298.829586
Palau,PLW,17.9,100.0,16.19116744,,14243.86469
Papua New Guinea,PNG,46.3,58.88763428,0.866804457,,2757.21753
Poland,POL,4.5,100.0,8.235472255,3971.799761,15720.99466
Pre-demographic dividend,PRE,81.74649288,46.72452005,0.557925928,256.2730187,1330.012898
Puerto Rico,PRI,,100.0,,,32290.92114
"Korea, Dem. People's Rep.",PRK,18.2,47.10408783,0.709208588,601.6890634,
Portugal,PRT,3.7,100.0,4.840612761,4662.6008,22176.29671
Paraguay,PRY,20.1,99.6,1.210453778,1552.384687,5001.07276
West Bank and Gaza,PSE,19.9,99.9903717,,,3239.731108
Pacific island small states,PSS,24.39511125,85.21815975,1.539504166,,3768.543357
Post-demographic dividend,PST,4.921064962,99.99518581,9.853984332,8899.871376,44425.16169
French Polynesia,PYF,,100.0,,,
Qatar,QAT,6.8,100.0,32.41563917,14781.62428,50124.38594
Romania,ROU,7.5,100.0,3.845132759,2584.411787,12896.08862
Russian Federation,RUS,6.3,100.0,11.12661837,6602.657479,10126.72179
Rwanda,RWA,35.9,34.74223709,0.087790824,,797.8555207
South Asia,SAS,42.1,92.36122729,1.526651238,705.3221659,1823.712912
Saudi Arabia,SAU,7.0,100.0,15.26878053,9401.485668,20110.31619
Sudan,SDN,60.3,52.29756546,0.483235878,256.7562291,595.467833
Senegal,SEN,47.0,66.0,0.621912357,229.3516495,1471.830962
Singapore,SGP,2.6,100.0,8.399134832,8844.687593,59797.75218
Solomon Islands,SLB,20.3,66.47304535,0.566740598,,2250.601164
Sierra Leone,SLE,113.5,26.1,0.133330736,,509.376594
El Salvador,SLV,13.7,97.0,1.060625411,937.0744722,3798.636521
San Marino,SMR,1.7,100.0,,,
Somalia,SOM,120.3,34.31357574,0.04597479,,313.872315
Serbia,SRB,5.5,100.0,6.521922194,4271.744667,7720.510572
Sub-Saharan Africa (excluding high income),SSA,78.07680767,45.83025621,0.763112676,487.3282404,1498.609739
